time,open,high,low,close,volume
1780444800,406.0,406.0,406.0,406.0,0
1780531200,405.0,405.0,405.0,405.0,0
1780617600,399.0,399.0,399.0,399.0,0
1780876800,395.0,395.0,395.0,395.0,0
1780963200,393.0,393.0,393.0,393.0,0
1781049600,385.0,385.0,385.0,385.0,0
1781136000,370.0,370.0,370.0,370.0,0
1781222400,390.0,390.0,390.0,390.0,0
1781481600,396.0,396.0,396.0,396.0,0
1781568000,390.0,390.0,390.0,390.0,0
1781654400,394.0,394.0,394.0,394.0,0
1781740800,390.0,390.0,390.0,390.0,0
1781827200,380.0,380.0,380.0,380.0,0
1782086400,390.0,390.0,390.0,390.0,0
1782172800,375.0,375.0,375.0,375.0,0
1782259200,370.0,370.0,370.0,370.0,0
1782345600,366.0,366.0,366.0,366.0,0
1782432000,368.0,368.0,368.0,368.0,0
1782691200,368.0,368.0,368.0,368.0,0
1782777600,365.0,365.0,365.0,365.0,0
1782864000,363.0,363.0,363.0,363.0,0
1782950400,375.0,375.0,375.0,375.0,0
1783036800,365.0,365.0,365.0,365.0,0
1783296000,355.0,355.0,355.0,355.0,0
1783382400,378.0,378.0,378.0,378.0,0
1783468800,371.0,371.0,371.0,371.0,0
1783555200,370.0,370.0,370.0,370.0,0
1783641600,373.0,373.0,373.0,373.0,0
1783900800,373.0,373.0,373.0,373.0,0
1783987200,365.0,365.0,365.0,365.0,0
1784073600,375.0,375.0,375.0,375.0,0
1784160000,360.0,360.0,360.0,360.0,0
1784246400,365.0,365.0,365.0,365.0,0
1784505600,365.0,365.0,365.0,365.0,0
1784592000,365.0,365.0,365.0,365.0,0
1784678400,357.0,357.0,357.0,357.0,0
1784764800,375.0,375.0,375.0,375.0,0
1784851200,370.0,370.0,370.0,370.0,0
1785110400,371.0,371.0,371.0,371.0,0
1785196800,371.0,371.0,371.0,371.0,0
1785283200,366.0,366.0,366.0,366.0,0
1785369600,359.0,359.0,359.0,359.0,0
